loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
518 scans accepted
258 scans rejected
should fail but pass struct pipeline:
CC00063AN06-15102
CC00067XX10-20200
CC00084XX11-31201
CC00127XX12-43200
CC00146XX15-48400
CC00155XX07-51300
CC00171XX07-56300
CC00191XX11-79600
CC00221XX07-75000
CC00236XX14-78700
CC00259XX12-85100
CC00265XX10-86901
CC00269XX14-88300
CC00298XX19-94700
CC00320XX07-102300
CC00324XX11-111200
CC00326XX13-104100
CC00328XX15-104800
CC00427XX15-130100
CC00432XX12-131800
CC00443XX15-133900
CC00468XX15-139100
CC00507XX12-148202
CC00526XX15-150500
CC00530XX11-153600
CC00554XX10-160200
CC00578AN18-164900
CC00596XX20-190100
CC00605XX11-172700
CC00605XX11-187700
CC00688XX21-199500
CC00689XX22-199800
CC00792XX18-244200
CC00833XX17-20510
CC00894XX21-3020
should pass but fail struct pipeline:
subject,session,accept,antonis1,antonis2,antonis3,kingsT1,kingsT2,structT1,structT2,matteo
CC00079XX14,30000,true,,,3,true,true,true,true,true,
CC00080XX07,30300,true,3,3,3,true,true,true,true,true,
CC00081XX08,30500,false,,,3,,,,,true,
CC00081XX08,33702,false,,,4,,,,,true,
CC00082XX09,30700,true,,,3,true,true,true,true,true,
CC00083XX10,30900,true,3,4,4,true,true,true,true,true,
CC00084XX11,31201,false,3,2,2,false,true,true,true,true,
CC00085XX12,31400,false,2,2,2,true,true,,,true,
CC00086XX13,31500,true,,,4,true,true,true,true,true,
CC00087AN14,31800,true,,,4,true,true,true,true,true,
CC00087AN14,38800,false,,,4,false,true,,,true,
CC00087BN14,32100,true,3,4,4,true,true,true,true,true,
CC00088XX15,31801,true,,,4,true,true,true,true,true,
CC00089XX16,32101,true,2,3,3,true,true,true,true,true,
CC00091XX10,32300,true,,,4,true,true,true,true,true,
CC00094AN13,33500,true,3,3,3,true,true,true,true,true,
CC00094BN13,33301,true,,,4,true,true,true,true,true,
CC00095XX14,33501,true,,,4,true,true,true,true,true,
CC00096XX15,33700,true,4,4,4,true,true,true,true,true,
CC00097XX16,33701,false,,,2,false,true,,,true,
CC00098BN17,33900,false,4,4,4,false,true,,,true,
CC00099AN18,34200,true,3,3,3,true,true,true,true,true,
CC00099BN18,34201,true,3,3,3,true,true,true,true,true,
CC00100XX01,35000,true,,,4,true,true,true,true,true,
CC00101XX02,35001,true,3,4,4,true,true,true,true,true,
CC00102XX03,35200,true,,,4,true,true,true,true,true,
CC00103XX04,35300,false,,,4,false,true,,,true,
CC00104XX05,35800,true,,,4,true,true,true,true,true,
CC00105XX06,35801,false,,,3,true,true,,,true,
CC00106XX07,36100,true,,,4,true,true,true,true,true,
CC00107XX08,36300,true,,,4,true,true,true,true,true,
CC00108XX09,36800,true,4,4,4,true,true,true,true,true,
CC00109XX10,36901,true,,,3,true,true,true,true,true,
CC00110XX03,37000,false,3,4,4,true,true,,,true,
CC00111XX04,37002,true,4,4,4,true,true,true,true,true,
CC00112XX05,37001,true,4,4,4,true,true,true,true,true,
CC00113XX06,37200,true,3,3,3,true,true,true,true,true,
CC00114XX07,37100,true,3,4,4,true,true,true,true,true,
CC00115XX08,37801,true,,,3,true,true,true,true,true,
CC00116XX09,38001,true,3,3,3,true,true,true,true,true,
CC00117XX10,38200,true,3,4,4,true,true,true,true,true,
CC00118XX11,39100,false,4,2,2,false,true,,,true,
CC00119XX12,39400,true,4,4,4,true,true,true,true,true,
CC00120XX05,41600,true,,,3,true,true,true,true,true,
CC00121XX06,41700,true,,,4,true,true,true,true,true,
CC00122XX07,42000,true,4,4,4,true,true,true,true,true,
CC00124XX09,42302,true,,,4,true,true,true,true,true,
CC00126XX11,43100,true,3,4,4,true,true,true,true,true,
CC00127XX12,43200,false,,,2,true,true,true,true,true,
CC00128XX13,43201,false,,,4,false,true,,,true,
CC00129AN14,43500,true,3,3,3,true,true,true,true,true,
CC00129BN14,43701,true,3,3,3,true,true,true,true,true,
CC00130XX07,44001,true,4,4,4,true,true,true,true,true,
CC00131XX08,44200,true,,,3,true,true,true,true,true,
CC00132XX09,44400,true,3,3,3,true,true,true,true,true,
CC00133XX10,44500,false,3,3,3,true,true,,,true,
CC00134XX11,44600,true,,,3,true,true,true,true,true,
CC00135AN12,44900,true,,,4,true,true,true,true,true,
CC00135AN12,54400,true,,,4,true,true,true,true,true,
CC00135BN12,44704,true,,,4,true,true,true,true,true,
CC00135BN12,54500,false,,,4,false,true,,,true,
CC00136AN13,45100,true,,,4,true,true,true,true,true,
CC00136AN13,64201,false,,,4,false,true,,,true,
CC00136BN13,64300,false,,,4,false,true,,,true,
CC00137XX14,45200,false,4,4,4,false,true,,,true,
CC00138XX15,46200,true,2,3,3,true,true,true,true,true,
CC00139XX16,49101,true,,,4,true,true,true,true,true,
CC00140XX09,46800,false,1,1,1,false,false,,,true,
CC00143AN12,47501,true,4,4,4,true,true,true,true,true,
CC00143BN12,47600,true,,,4,true,true,true,true,true,
CC00144XX13,47701,true,,,3,true,true,true,true,true,
CC00145XX14,48100,true,3,3,3,true,true,true,true,true,
CC00146XX15,48400,false,,,2,true,true,true,true,true,
CC00147XX16,48500,true,,,4,true,true,true,true,true,
CC00149XX18,49000,true,,,4,true,true,true,true,true,
CC00150AN02,54800,true,,,4,true,true,true,true,true,
CC00150BN02,49100,true,,,4,true,true,true,true,true,
CC00152AN04,49200,true,,,4,true,true,true,true,true,
CC00152AN04,65700,false,4,4,4,false,true,,,true,
CC00153XX05,50300,true,4,4,4,true,true,true,true,true,
CC00154XX06,50700,true,,,4,true,true,true,true,true,
CC00154XX06,69600,false,4,4,4,false,true,,,true,
CC00155XX07,51300,false,,,1,true,true,true,true,true,
CC00156XX08,51500,false,3,3,3,false,true,,,true,
CC00157XX09,51900,true,,,4,true,true,true,true,true,
CC00158XX10,52200,true,,,3,false,true,true,true,true,
CC00159XX11,52600,true,4,4,4,true,true,true,true,true,
CC00160XX04,52700,true,3,3,3,true,true,true,true,true,
CC00161XX05,53100,true,4,4,4,true,true,true,true,true,
CC00162XX06,53600,true,3,3,3,true,true,true,true,true,
CC00163XX07,53701,true,,,3,true,true,true,true,true,
CC00164XX08,54000,true,4,4,4,true,true,true,true,true,
CC00165XX09,54600,true,,,4,true,true,true,true,true,
CC00166XX10,54701,false,,,1,false,true,,,true,
CC00167XX11,55600,false,3,4,4,false,true,,,true,
CC00168XX12,55700,true,4,4,4,false,true,true,true,true,
CC00169XX13,55500,false,,,4,false,true,,,true,
CC00170XX06,56100,true,3,4,4,false,true,true,true,true,
CC00171XX07,56300,false,2,2,2,true,true,true,true,true,
CC00172AN08,56901,true,4,4,4,true,true,true,true,true,
CC00172BN08,57300,true,3,4,4,true,true,true,true,true,
CC00173XX09,57100,false,2,2,2,false,true,,,true,
CC00174XX10,57200,true,4,4,4,true,true,true,true,true,
CC00176XX12,57600,true,4,4,4,true,true,true,true,true,
CC00177XX13,58500,true,,,4,true,true,true,true,true,
CC00178XX14,58600,true,2,3,3,true,true,true,true,true,
CC00179XX15,58800,true,3,3,3,true,true,true,true,true,
CC00180XX08,59500,true,,,4,true,true,true,true,true,
CC00181XX09,60000,true,,,3,true,true,true,true,true,
CC00182XX10,60200,true,,,4,true,true,true,true,true,
CC00183XX11,60300,true,,,3,true,true,true,true,true,
CC00184XX12,60501,true,,,4,true,true,true,true,true,
CC00185XX13,60800,true,,,4,true,true,true,true,true,
CC00186AN14,60900,true,,,4,true,true,true,true,true,
CC00186BN14,61000,true,,,4,,,true,true,true,
CC00187XX15,61500,false,,,4,false,true,,,true,
CC00188XX16,61800,false,,,4,false,true,,,true,
CC00189XX17,62301,true,,,3,true,true,true,true,true,
CC00191XX11,65200,true,,,3,true,true,true,true,true,
CC00191XX11,79600,false,2,2,2,true,true,true,true,true,
CC00192AN12,64301,true,4,4,4,true,true,true,true,true,
CC00193XX13,64400,true,,,3,true,true,true,true,true,
CC00194XX14,65401,true,4,4,4,true,true,true,true,true,
CC00195XX15,65800,false,4,4,4,false,true,,,true,
CC00196XX16,66100,false,4,4,4,false,true,,,true,
CC00197XX17,66500,true,,,4,true,true,true,true,true,
CC00198XX18,66600,true,,,3,true,true,true,true,true,
CC00199XX19,66700,true,,,3,true,true,true,true,true,
CC00200XX02,67204,true,4,3,3,true,true,true,true,true,
CC00201XX03,67600,true,4,4,4,true,true,true,true,true,
CC00202XX04,67800,true,,,4,true,true,true,true,true,
CC00203XX05,69500,true,,,4,true,true,true,true,true,
CC00204XX06,69900,true,,,3,true,true,true,true,true,
CC00205XX07,70000,true,3,4,4,true,true,true,true,true,
CC00206XX08,70100,true,4,4,4,true,true,true,true,true,
CC00207XX09,88700,true,,,4,true,true,true,true,true,
CC00209XX11,70400,true,4,4,4,true,true,true,true,true,
CC00216AN10,73100,true,4,4,4,true,true,true,true,true,
CC00216BN10,73200,true,4,4,4,true,true,true,true,true,
CC00217XX11,73700,true,4,4,4,false,true,true,true,true,
CC00218AN12,74801,true,,,3,true,true,true,true,true,
CC00218AN12,85900,false,4,4,4,false,true,,,true,
CC00218BN12,74800,true,,,3,true,true,true,true,true,
CC00218BN12,86000,false,4,4,4,false,true,,,true,
CC00219XX13,86600,true,,,4,true,true,true,true,true,
CC00221XX07,75000,false,3,2,2,false,true,true,true,true,
CC00223XX09,75900,true,4,4,4,true,true,true,true,true,
CC00226XX12,76600,false,,,4,false,true,,,true,
CC00227XX13,76601,false,,,1,false,true,,,true,
CC00227XX13,92100,true,,,4,true,true,true,true,true,
CC00228XX14,77001,false,,,3,false,true,,,true,
CC00228XX14,81300,false,,,3,false,true,,,true,
CC00231XX09,77701,true,4,4,4,true,true,true,true,true,
CC00232XX10,78300,false,,,4,false,true,,,true,
CC00233XX11,77800,false,4,4,4,false,true,,,true,
CC00236XX14,78700,false,2,2,2,true,true,true,true,true,
CC00237XX15,79300,true,4,4,4,true,true,true,true,true,
CC00238AN16,80300,true,3,3,3,true,true,true,true,true,
CC00238BN16,80400,true,3,3,3,,,true,true,true,
CC00239XX17,80600,false,3,4,4,false,true,,,true,
CC00242XX12,80900,false,3,3,3,false,true,,,true,
CC00243BN13,81100,false,,,4,false,true,,,true,
CC00244XX14,81200,true,,,4,true,true,true,true,true,
CC00245AN15,82304,true,,,4,true,true,true,true,true,
CC00245AN15,94300,true,4,4,4,true,true,true,true,true,
CC00245BN15,82600,true,,,4,true,true,true,true,true,
CC00245BN15,94400,false,,,,true,true,,,true,
CC00247XX17,82801,true,,,3,,,true,true,true,
CC00248XX18,92700,true,,,4,true,true,true,true,true,
CC00250XX03,83700,true,4,3,3,true,true,true,true,true,
CC00251XX04,83800,true,,,4,true,true,true,true,true,
CC00252XX05,84000,true,4,4,4,true,true,true,true,true,
CC00254XX07,84300,true,4,4,4,true,true,true,true,true,
CC00255XX08,84400,true,,,3,true,true,true,true,true,
CC00256XX09,84500,false,,,3,false,true,,,true,
CC00257XX10,84700,true,3,3,3,true,true,true,true,true,
CC00258XX11,84900,true,4,4,4,true,true,true,true,true,
CC00259XX12,85100,false,,,1,true,true,true,true,true,
CC00260XX05,85300,true,,,4,true,true,true,true,true,
CC00261XX06,85600,false,,,2,false,true,,,true,
CC00264AN09,89400,false,,,3,false,true,,,true,
CC00265XX10,86901,false,,,2,true,true,true,true,true,
CC00267XX12,87700,true,4,4,4,true,true,true,true,true,
CC00268XX13,87800,true,3,3,3,true,true,true,true,true,
CC00269XX14,88300,false,,,2,true,true,true,true,true,
CC00270XX07,88600,true,,,4,true,true,true,true,true,
CC00271XX08,100400,true,,,4,true,true,true,true,true,
CC00271XX08,88900,false,,,3,false,true,,,true,
CC00272XX09,117900,true,3,4,4,true,true,true,true,true,
CC00275XX12,93501,false,,,4,false,true,,,true,
CC00277XX14,89700,false,,,,false,true,,,true,
CC00281AN10,90400,true,4,4,4,true,true,true,true,true,
CC00281BN10,90500,true,4,4,4,true,true,true,true,true,
CC00284AN13,111400,true,,,3,true,true,true,true,true,
CC00284AN13,90701,true,,,4,true,true,true,true,true,
CC00284BN13,111500,true,,,4,true,true,true,true,true,
CC00284BN13,90801,true,,,3,true,true,true,true,true,
