loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
loading matteo's QC ...
820 matteo successes
loading sean's QC ...
590 sean successes
finding images in struct output with at least T2 ...
669 struct pipeline successes
920 scans
352 scans accepted
568 scans rejected
subject,session,accept,antonis1,antonis2,antonis3,antonis,has_struct,matteo,matteo_qc,sean_qc
CC00153XX05,50300,true,4,4,4,true,true,,true,true,
CC00154XX06,50700,true,,,4,true,true,,true,true,
CC00154XX06,69600,false,4,4,4,true,true,,false,,
CC00155XX07,51300,false,,,1,false,true,,true,true,
CC00156XX08,51500,true,3,3,3,true,true,,true,true,
CC00157XX09,51900,true,,,4,true,true,,true,true,
CC00158XX10,52200,true,,,3,true,true,,true,true,
CC00159XX11,52600,false,4,4,4,true,true,,false,true,
CC00160XX04,52700,true,3,3,3,true,true,,true,true,
CC00161XX05,53100,true,4,4,4,true,true,,true,true,
CC00162XX06,53600,true,3,3,3,true,true,,true,true,
CC00163XX07,53701,false,,,3,true,true,,false,true,
CC00164XX08,54000,true,4,4,4,true,true,,true,true,
CC00165XX09,54600,true,,,4,true,true,,true,true,
CC00166XX10,54701,false,,,1,false,true,,false,true,
CC00167XX11,55600,true,3,4,4,true,true,,true,true,
CC00168XX12,55700,true,4,4,4,true,true,,true,true,
CC00169XX13,55500,false,,,4,true,true,,false,true,
CC00170XX06,56100,true,3,4,4,true,true,,true,true,
CC00171XX07,56300,true,2,2,2,true,true,,true,true,
CC00172AN08,56901,true,4,4,4,true,true,,true,true,
CC00172BN08,57300,false,3,4,4,true,true,,true,,
CC00173XX09,57100,false,2,2,2,true,true,,false,,
CC00174XX10,57200,true,4,4,4,true,true,,true,true,
CC00176XX12,57600,true,4,4,4,true,true,,true,true,
CC00177XX13,58500,false,,,4,true,true,,true,,
CC00178XX14,58600,true,2,3,3,true,true,,true,true,
CC00179XX15,58800,true,3,3,3,true,true,,true,true,
CC00180XX08,59500,true,,,4,true,true,,true,true,
